date,time,inside,outside
2020-07-29,06:33:52,6,2
2020-07-29,06:33:53,6,2
2020-07-29,06:33:54,6,2
2020-07-29,06:33:55,6,2
2020-07-29,06:33:56,6,2
2020-07-29,06:33:57,6,2
2020-07-29,06:33:58,6,2
2020-07-29,06:33:59,7,2
2020-07-29,06:34:00,7,2
2020-07-29,06:34:01,7,2
2020-07-29,06:34:02,7,2
2020-07-29,06:34:03,7,2
2020-07-29,06:34:04,7,2
2020-07-29,06:34:05,7,2
2020-07-29,06:34:06,8,2
2020-07-29,06:34:07,8,2
2020-07-29,06:34:08,8,3
2020-07-29,06:34:09,8,4
2020-07-29,06:34:10,8,4
2020-07-29,06:34:11,8,4
2020-07-29,06:34:12,8,4
2020-07-29,06:34:13,8,5
2020-07-29,06:34:14,8,5
2020-07-29,06:34:15,8,5
2020-07-29,06:34:16,8,5
2020-07-29,06:34:17,8,5
2020-07-29,06:34:18,8,5
2020-07-29,06:34:19,8,6
2020-07-29,06:34:20,8,6
2020-07-29,06:34:21,9,6
2020-07-29,06:34:22,9,6
2020-07-29,06:34:23,9,8
2020-07-29,06:34:24,9,8
2020-07-29,06:34:25,9,8
2020-07-29,06:34:26,10,8
2020-07-29,06:34:27,10,8
2020-07-29,06:34:28,10,8
2020-07-29,06:34:29,10,8
2020-07-29,06:34:30,10,9
2020-07-29,06:34:31,10,9
2020-07-29,06:34:32,10,10
2020-07-29,06:34:33,10,11
2020-07-29,06:34:34,10,11
2020-07-29,06:34:35,10,11
2020-07-29,06:34:36,10,11
2020-07-29,06:34:37,10,11
2020-07-29,06:34:38,10,11
2020-07-29,06:34:39,10,11
2020-07-29,06:34:40,10,11
2020-07-29,06:34:41,10,11
2020-07-29,06:34:42,10,11
2020-07-29,06:34:43,10,11
2020-07-29,06:34:44,10,12
2020-07-29,06:34:45,10,12
2020-07-29,06:34:46,10,12
2020-07-29,06:34:47,10,12
2020-07-29,06:34:48,11,12
2020-07-29,06:34:49,11,12
2020-07-29,06:34:50,11,12
2020-07-29,06:34:51,12,12
2020-07-29,06:34:52,12,12
2020-07-29,06:34:53,12,12
2020-07-29,06:34:54,13,13
2020-07-29,06:34:55,13,13
2020-07-29,06:34:56,13,13
2020-07-29,06:34:57,13,13
2020-07-29,06:34:58,13,13
2020-07-29,06:34:59,14,13
2020-07-29,06:35:00,14,13
2020-07-29,06:35:01,14,13
2020-07-29,06:35:02,14,13
2020-07-29,06:35:03,14,13
2020-07-29,06:35:04,14,13
2020-07-29,06:35:05,15,13
2020-07-29,06:35:06,15,13
2020-07-29,06:35:07,15,14
2020-07-29,06:35:08,15,15
2020-07-29,06:35:09,15,15
2020-07-29,06:35:10,15,15
2020-07-29,06:35:11,15,15
2020-07-29,06:35:12,15,15
2020-07-29,06:35:13,15,15
2020-07-29,06:35:14,15,15
2020-07-29,06:35:15,17,15
2020-07-29,06:35:16,17,15
2020-07-29,06:35:17,18,15
2020-07-29,06:35:18,18,15
2020-07-29,06:35:19,18,15
2020-07-29,06:35:20,18,15
2020-07-29,06:35:21,18,17
2020-07-29,06:35:22,18,17
2020-07-29,06:35:23,18,17
2020-07-29,06:35:24,18,17
2020-07-29,06:35:25,18,17
2020-07-29,06:35:26,18,17
